Date,Candles
April 27 2018,21
May 01 2018,20
May 02 2018,19
May 04 2018,9
May 11 2018,21
May 18 2018,20
May 28 2018,19
July 03 2018,20
July 04 2018,19
July 10 2018,20
July 17 2018,20
July 24 2018,20
July 31 2018,20
August 07 2018,20
August 14 2018,20
August 21 2018,20
August 28 2018,20
September 03 2018,20
September 04 2018,20
September 11 2018,20
September 17 2018,15
September 18 2018,20
November 22 2018,19
November 23 2018,20
December 05 2018,16
December 24 2018,20
December 31 2018,20
January 21 2019,19
February 18 2019,19
May 27 2019,20
July 03 2019,20
July 04 2019,19
September 02 2019,19
November 04 2019,22
November 28 2019,19
November 29 2019,20
December 24 2019,20
January 20 2020,19
February 17 2020,19
March 09 2020,20
March 13 2020,22
March 16 2020,11
March 18 2020,18
March 24 2020,22
May 25 2020,19
July 03 2020,19
September 07 2020,19
November 26 2020,19
November 27 2020,20
December 24 2020,20
January 18 2021,19
February 15 2021,19
April 02 2021,16
May 31 2021,19
July 05 2021,19
September 06 2021,19
November 25 2021,19
November 26 2021,20
January 17 2022,19
February 21 2022,19
May 30 2022,19
June 13 2022,22
June 20 2022,20
July 04 2022,19
September 05 2022,19
November 24 2022,19
November 25 2022,20
January 16 2023,19
February 20 2023,19
April 07 2023,16
May 29 2023,19
June 19 2023,19
July 03 2023,20
July 04 2023,20
September 04 2023,19
November 23 2023,19
November 24 2023,20
January 15 2024,19
February 19 2024,19
